Document ID,Weight,Is Retweet?,Document Text
1332884133329182720,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332884186789793792,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332884211712266242,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332886275741814786,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332887044734021632,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332893576611631104,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332898007193247749,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332903270768123904,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332903849384845317,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332914546952978435,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332918509819424768,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332932007517585409,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332935710517686273,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332938197781929984,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
1332960931186241536,0.02646,Retweet,😢I cry for El Paso—Inmates move hundreds of bodies into mobile morgues; National Guard now does grim task; Funeral homes turn storage closets to freezers; crematorium broke from overuse; convention center now a field hospital; lacking gravesites. #COVID19 https://t.co/uLZknGvxMR https://t.co/kfZt5CpIww
